,Company,Category,Sub-Category,Acquired/IPO,Exit Year,Data Driven / Hardwired Video
450,Chorus.ai,Applications - Enterprise,Sales,,,
451,Clari,Applications - Enterprise,Sales,,,
452,Clearbit,Applications - Enterprise,Sales,,,
453,Collective Intelligence,Applications - Enterprise,Sales,,,
454,Conversica,Applications - Enterprise,Sales,,,
455,FuseMachines,Data Resources,Incubators & Schools,,,Video
456,Gong,Applications - Enterprise,Sales,,,
457,Xant,Applications - Enterprise,Sales,,,
458,People.ai,Applications - Enterprise,Sales,,,
459,RelateIQ,Applications - Enterprise,Sales,Acquired by Salesforce in July 2014,2014,
460,Salesforce Einstein,Applications - Enterprise,Sales,,,
461,Tact,Applications - Enterprise,Sales,,,
462,Troops.ai,Applications - Enterprise,Sales,,,
463,Anomali,Applications - Enterprise,Security,,,
464,Area 1 Security,Applications - Enterprise,Security,,,Video
465,Armorblox,Applications - Enterprise,Security,,,
466,Axonius,Applications - Enterprise,Security,,,
467,Bitglass,Applications - Enterprise,Security,,,
468,BitSight Technologies,Applications - Enterprise,Security,,,
469,Blue Hexagon,Applications - Enterprise,Security,,,
470,CipherCloud,Applications - Enterprise,Security,,,
471,CloudFlare,Applications - Enterprise,Security,,,
472,Code42,Applications - Enterprise,Security,,,
473,GoSecure,Applications - Enterprise,Security,,,
474,CrowdStrike,Applications - Enterprise,Security,IPO in June 2019,2019,
475,CybelAngel,Applications - Enterprise,Security,,,
476,Cybereason,Applications - Enterprise,Security,,,
477,CyberX,Applications - Enterprise,Security,Acquired by Microsoft in June 2020,2020,
478,Blackberry Spark,Applications - Enterprise,Security,,,
479,DarkTrace,Applications - Enterprise,Security,,,
480,Datagravity,Applications - Enterprise,Security,Acquired by HyTrust in July 2017,2017,
481,Dataguise,Applications - Enterprise,Security,,,
482,Datavisor,Applications - Enterprise,Security,,,
483,E8 Security,Applications - Enterprise,Security,Acquired by VMware in March 2018,2018,
484,Evident.io,Applications - Enterprise,Security,Acquired by Palo Alto Networks in March 2018,2018,
485,Exabeam,Applications - Enterprise,Security,,,
486,Feedzai,Applications - Enterprise,Security,,,
487,Forter,Applications - Enterprise,Security,,,
488,Fortscale,Applications - Enterprise,Security,Acquired by RSA Security in April 2018,2018,
489,GitGuardian,Applications - Enterprise,Security,,,
490,Guardian Analytics,Applications - Enterprise,Security,Acquired by NICE Actimize in June 2020,2020,
491,Illumio,Applications - Enterprise,Security,,,
492,Imperva,Applications - Enterprise,Security,Acquired by Thoma Bravo In October 2018,2018,
493,IronNet Cybersecurity,Applications - Enterprise,Security,,,
494,Jask Labs,Applications - Enterprise,Security,Acquired by Sumo Logic in November 2019,2019,
495,Keybase,Applications - Enterprise,Security,Acquired by Zoom in May 2020,2020,
496,Netskope,Applications - Enterprise,Security,,,
497,Nexthink,Applications - Enterprise,Security,,,
498,Obsidian Security,Applications - Enterprise,Security,,,
499,Pindrop Security,Applications - Enterprise,Security,,,
500,Privitar,Applications - Enterprise,Security,,,
501,Recorded Future,Applications - Enterprise,Security,Acquired by Insight in May 2019,2019,Video
502,Riskified,Applications - Enterprise,Security,,,
503,RiskRecon,Applications - Enterprise,Security,Acquired by Mastercard in November 2019,2019,
504,Security Scorecard,Applications - Enterprise,Security,,,Video
505,Semmle,Applications - Enterprise,Security,Acquired by Github in September 2019,2019,
506,SentinelOne,Applications - Enterprise,Security,,,
507,Shield AI,Applications - Enterprise,Security,,,
508,Sift Science,Applications - Enterprise,Security,,,Video
509,SignalSense,Applications - Enterprise,Security,,,
510,Signifyd,Applications - Enterprise,Security,,,
511,Socure,Applications - Enterprise,Security,,,
512,SparkCognition,Applications - Enterprise,Security,,,
513,Sqrrl,Applications - Enterprise,Security,Acquired by Amazon in January 2018,2018,Video
514,StackPath,Applications - Enterprise,Security,,,
515,Tanium,Applications - Enterprise,Security,,,
516,ThreatMetrix,Applications - Enterprise,Security,Acquired by Lexis Nexis in January 2018,2018,
517,Vade Secure,Applications - Enterprise,Security,,,
518,Vectra Networks,Applications - Enterprise,Security,,,
519,Wanlihong,Applications - Enterprise,Security,,,
520,Zettaset,Applications - Enterprise,Security,,,
521,ZScaler,Applications - Enterprise,Security,IPO in April 2018,2018,
522,33Across,Applications - Industry,Advertising,,,
523,Adbrain,Applications - Industry,Advertising,,,
524,Aggregate Knowledge,Applications - Industry,Advertising,Acquired by Neustar in October 2013,2013,
525,AiMatch,Applications - Industry,Advertising,Acquired by SAS Institute in February 2012,2012,
526,Albert Technologies (fka Adgorithms),Applications - Industry,Advertising,,,
527,Appier,Applications - Industry,Advertising,,,
528,AppNexus,Applications - Industry,Advertising,,,Video
529,Criteo,Applications - Industry,Advertising,,,
530,DataXu,Applications - Industry,Advertising,,,
531,Datorama,Applications - Industry,Advertising,Acquired by Salesforce in July 2018,2018,Video
532,Drawbridge,Applications - Industry,Advertising,Acquired by Gimbal in May 2018,2018,
533,Dstillery,Applications - Industry,Advertising,,,
534,Dynamic Yield,Applications - Industry,Advertising,Acquired by in McDonald's March 2019,2019,
535,eXelate,Applications - Industry,Advertising,Acquired by Nielsen in March 2015,2015,
536,GroundTruth (fka xAd),Applications - Industry,Advertising,,,
537,GumGum,Applications - Industry,Advertising,,,
538,Integral Ad Science,Applications - Industry,Advertising,Acquired in May 2018 by Vista Equity Partners,2018,
539,ispot.tv,Applications - Industry,Advertising,,,
540,LiveIntent,Applications - Industry,Advertising,,,
541,MediaMath,Applications - Industry,Advertising,,,
542,Moat Analytics,Applications - Industry,Advertising,Acquired by Oracle in April 2017,2017,
543,MobileWalla,Applications - Industry,Advertising,,,
544,OpenX,Applications - Industry,Advertising,,,
545,Rocket Fuel,Applications - Industry,Advertising,Acquired by Sizmek in July 2017,2017,
546,Tapad,Applications - Industry,Advertising,Acquired by Telenor in January 2016,2016,Video
547,Teemo (fka DataBerries),Applications - Industry,Advertising,,,
548,The Trade Desk,Applications - Industry,Advertising,IPO in September 2016,2016,
549,Versium,Applications - Industry,Advertising,,,
550,AgroStar,Applications - Industry,Agriculture,,,
551,Aquabyte,Applications - Industry,Agriculture,,,
552,Blue River Tech,Applications - Industry,Agriculture,Acquired by Deere & Co in September 2017,2017,
553,Farmers Business Network,Applications - Industry,Agriculture,,,
554,Farmers Edge,Applications - Industry,Agriculture,,,
555,FarmLogs,Applications - Industry,Agriculture,,,
556,Granular,Applications - Industry,Agriculture,Acquired by DuPont in August 2017,2017,
557,Mavrx,Applications - Industry,Agriculture,,,
558,Prospera,Applications - Industry,Agriculture,,,
559,Semios,Applications - Industry,Agriculture,,,
560,Terravion,Applications - Industry,Agriculture,,,
561,The Climate Corporation,Applications - Industry,Agriculture,Acquired by Monsanto in Oct 2013,2013,
562,Dia & Co,Applications - Industry,Commerce,,,Video
563,Faire,Applications - Industry,Commerce,,,
564,Heuritech,Applications - Industry,Commerce,,,
565,HowGood,Applications - Industry,Commerce,,,Video
566,Instacart,Applications - Industry,Commerce,,,Video
567,RetailNext,Applications - Industry,Commerce,,,
568,Standard Cognition,Applications - Industry,Commerce,,,
569,Stitch Fix,Applications - Industry,Commerce,,,Video
570,Clever,Applications - Industry,Education,,,
571,Declara,Applications - Industry,Education,Acquired by Futuryng in April 2019,2019,
572,Gradescope,Applications - Industry,Education,Acquired by Turnitin in October 2018,2018,
573,Kidaptive,Applications - Industry,Education,,,
574,Knewton,Applications - Industry,Education,Acquired by Wiley in May 2019,2019,Video
575,KnowRe,Applications - Industry,Education,Acquired by DAEKYO in August 2018,2018,
576,Liulishuo,Applications - Industry,Education,,,
577,Panorama Education,Applications - Industry,Education,,,Video
578,Yuanfudao,Applications - Industry,Education,,,
579,Addepar,Applications - Industry,Finance - Investing,,,
580,Algoriz,Applications - Industry,Finance - Investing,,,
581,Clarity Money,Applications - Industry,Finance - Investing,Acquired by Goldman Sachs in April 2018,2018,
582,Eigen Technologies,Applications - Industry,Finance - Investing,,,
583,eVestment,Applications - Industry,Finance - Investing,,,
584,Isentium,Applications - Industry,Finance - Investing,,,
585,Kensho,Applications - Industry,Finance - Investing,Acquired by S&P in March 2018,2018,Video
586,Kensho,Applications - Industry,Finance - Investing,,,
587,Numerai,Applications - Industry,Finance - Investing,,,
588,Pagaya,Applications - Industry,Finance - Investing,,,
589,Quantopian,Applications - Industry,Finance - Investing,,,Video
590,100credit,Applications - Industry,Finance - Lending,,,
591,Active AI,Applications - Industry,Finance - Lending,,,
592,Affirm,Applications - Industry,Finance - Lending,,,
593,Aire,Applications - Industry,Finance - Lending,,,
594,Aura,Applications - Industry,Finance - Lending,,,Video
595,Avant,Applications - Industry,Finance - Lending,,,
596,BillGuard,Applications - Industry,Finance - Lending,Acquired by Prosper in September 2015,2015,
597,Cignifi,Applications - Industry,Finance - Lending,,,
598,Clearbanc,Applications - Industry,Finance - Lending,,,
599,CommonBond,Applications - Industry,Finance - Lending,,,
600,Earnest,Applications - Industry,Finance - Lending,Acquired by Naviant in October 2017,2017,
601,Jianpu Technology,Applications - Industry,Finance - Lending,IPO in November 2017,2017,
602,Kabbage,Applications - Industry,Finance - Lending,,,
603,Kreditech,Applications - Industry,Finance - Lending,,,
604,Lending Club,Applications - Industry,Finance - Lending,IPO in December 2014,2014,Video
605,LendUp,Applications - Industry,Finance - Lending,,,
606,MoneyLion,Applications - Industry,Finance - Lending,,,
607,OnDeck,Applications - Industry,Finance - Lending,IPO in December 2014,2014,Video
608,Payoff,Applications - Industry,Finance - Lending,,,
609,PPDAI,Applications - Industry,Finance - Lending,IPO in November 2017,2017,
610,Prosper,Applications - Industry,Finance - Lending,,,
611,SoFi,Applications - Industry,Finance - Lending,,,
612,Tala,Applications - Industry,Finance - Lending,,,
613,TrueAccord,Applications - Industry,Finance - Lending,,,
614,Upgrade,Applications - Industry,Finance - Lending,,,
615,Upstart,Applications - Industry,Finance - Lending,,,
616,Wecash,Applications - Industry,Finance - Lending,,,
617,WeLab,Applications - Industry,Finance - Lending,,,
618,Wonga,Applications - Industry,Finance - Lending,,,
619,ZestFinance,Applications - Industry,Finance - Lending,,,Video
620,Anduril,Applications - Industry,Government & Intelligence,,,
621,Dataminr,Applications - Industry,Government & Intelligence,,,
622,Enigma,Applications - Industry,Government & Intelligence,,,Video
623,FireStop,Applications - Industry,Government & Intelligence,,,Video
624,FiscalNote,Applications - Industry,Government & Intelligence,,,Video
625,Forge.AI,Applications - Industry,Government & Intelligence,,,
626,GRIDSMART,Applications - Industry,Government & Intelligence,Acquired by Cubic in January 2019,2019,
627,LiveStories,Applications - Industry,Government & Intelligence,,,
628,Mark43,Applications - Industry,Government & Intelligence,,,Video
629,OpenDataSoft,Applications - Industry,Government & Intelligence,,,Video
630,OpenGov,Applications - Industry,Government & Intelligence,,,
631,Palantir,Applications - Industry,Government & Intelligence,,,
632,Passport,Applications - Industry,Government & Intelligence,,,
633,PredPol,Applications - Industry,Government & Intelligence,,,
634,Primer,Applications - Industry,Government & Intelligence,,,
635,Quid,Applications - Industry,Government & Intelligence,,,Video
636,SmartProcure,Applications - Industry,Government & Intelligence,,,
637,Socrata,Applications - Industry,Government & Intelligence,Acquired by Tyler Technologies in April 2018,2018,
638,Streetlight Data,Applications - Industry,Government & Intelligence,,,
639,3DMED,Applications - Industry,Healthcare,,,
640,AiCure,Applications - Industry,Healthcare,,,
641,Arterys,Applications - Industry,Healthcare,,,
642,Babylon Health,Applications - Industry,Healthcare,,,
643,Caption Health,Applications - Industry,Healthcare,,,
644,Ciitizen,Applications - Industry,Healthcare,,,
645,CloudMedx,Applications - Industry,Healthcare,,,
646,Clover Health,Applications - Industry,Healthcare,,,
647,COTA,Applications - Industry,Healthcare,,,
648,Datavant,Applications - Industry,Healthcare,,,
649,Enlitic,Applications - Industry,Healthcare,,,
650,Ezra,Applications - Industry,Healthcare,,,
651,Flatiron Health,Applications - Industry,Healthcare,Acquired by Roche in February 2018,2018,Video
652,Ginger.io,Applications - Industry,Healthcare,,,
653,Glow,Applications - Industry,Healthcare,,,
654,Grand Round Table,Applications - Industry,Healthcare,,,
655,HealthTap,Applications - Industry,Healthcare,,,Video
656,HumanDX,Applications - Industry,Healthcare,,,
657,Imagen Technologies,Applications - Industry,Healthcare,,,
658,Imagia,Applications - Industry,Healthcare,,,
659,InnovAccer,Applications - Industry,Healthcare,,,
660,intelligencia.ai,Applications - Industry,Healthcare,,,
661,K Health,Applications - Industry,Healthcare,,,Video
662,Khieron,Applications - Industry,Healthcare,,,
663,Komodo Health,Applications - Industry,Healthcare,,,
664,Kyruus,Applications - Industry,Healthcare,,,
665,LeanTaaS,Applications - Industry,Healthcare,,,
666,LinkDoc Technology,Applications - Industry,Healthcare,,,
667,Lumiata,Applications - Industry,Healthcare,,,
668,Metabiota,Applications - Industry,Healthcare,,,
669,Mindstrong,Applications - Industry,Healthcare,,,
670,Notable,Applications - Industry,Healthcare,,,
671,Olive,Applications - Industry,Healthcare,,,
672,Ovia Health,Applications - Industry,Healthcare,,,
673,PAIGE.AI,Applications - Industry,Healthcare,,,
674,PathAI,Applications - Industry,Healthcare,,,
675,PatientsLikeMe,Applications - Industry,Healthcare,,,
676,Prognos,Applications - Industry,Healthcare,,,
677,Protenus,Applications - Industry,Healthcare,,,
678,Qventus,Applications - Industry,Healthcare,,,
679,SigTuple,Applications - Industry,Healthcare,,,
680,Spring Health,Applications - Industry,Healthcare,,,
681,Syllable,Applications - Industry,Healthcare,,,
682,Tempus Labs,Applications - Industry,Healthcare,,,
683,Viz.ai,Applications - Industry,Healthcare,,,
684,Zebra Medical Vision,Applications - Industry,Healthcare,,,
685,Alluvium,Applications - Industry,Industrial,Acquired by Augury in January 2019,2019,Video
686,Augury,Applications - Industry,Industrial,,,Video
687,AVEVA,Applications - Industry,Industrial,,,
688,CloudNC,Applications - Industry,Industrial,,,
689,Fero Labs,Applications - Industry,Industrial,,,Video
690,Flexciton,Applications - Industry,Industrial,,,
691,Kayrros,Applications - Industry,Industrial,,,
692,KONUX,Applications - Industry,Industrial,,,
693,Motive Drilling,Applications - Industry,Industrial,Acquired by Helmerich & Payne in May 2017,2017,
694,OSISoft,Applications - Industry,Industrial,Acquired by Aveva in August 2020,2020,
695,Predix,Applications - Industry,Industrial,,,
696,Schneider,Applications - Industry,Industrial,,,
697,Scortex,Applications - Industry,Industrial,,,
698,Siemens,Applications - Industry,Industrial,,,
699,Sight Machine,Applications - Industry,Industrial,,,
700,Tachyus,Applications - Industry,Industrial,,,
701,Tulip,Applications - Industry,Industrial,,,
702,Uptake,Applications - Industry,Industrial,,,
703,Arturo,Applications - Industry,Insurance,,,
704,Bought By Many,Applications - Industry,Insurance,,,
705,Cape Analytics,Applications - Industry,Insurance,,,
706,Cyence,Applications - Industry,Insurance,Acquired by Guidewire in October 2017,2017,
707,Duck Creek Technologies,Applications - Industry,Insurance,IPO in 2020,2020,
708,Ethos Technologies,Applications - Industry,Insurance,,,
709,EvolutionIQ,Applications - Industry,Insurance,,,
710,Hippo,Applications - Industry,Insurance,,,
711,Lemonade,Applications - Industry,Insurance,IPO in July 2020,2020,
712,MetroMile,Applications - Industry,Insurance,,,
713,Root Insurance,Applications - Industry,Insurance,,,
714,Shift Technology,Applications - Industry,Insurance,,,
715,Tractable,Applications - Industry,Insurance,,,
716,Zelros,Applications - Industry,Insurance,,,
717,Zesty.ai,Applications - Industry,Insurance,,,
718,23andMe,Applications - Industry,Life Sciences,,,
719,3scan,Applications - Industry,Life Sciences,,,
720,Atomwise,Applications - Industry,Life Sciences,,,
721,Benchling,Applications - Industry,Life Sciences,,,Video
722,BenevolentAI,Applications - Industry,Life Sciences,,,Video
723,Bina Technologies,Applications - Industry,Life Sciences,Acquired by Roche in December 2014,2014,
724,BlackThorn Therapeutics,Applications - Industry,Life Sciences,,,
725,Citrine Informatics,Applications - Industry,Life Sciences,,,
726,Clear Labs,Applications - Industry,Life Sciences,,,
727,Color Genomics,Applications - Industry,Life Sciences,,,
728,Concerto HealthAI,Applications - Industry,Life Sciences,,,
729,Counsyl,Applications - Industry,Life Sciences,,,
730,Deep Genomics,Applications - Industry,Life Sciences,,,
731,Diassess,Applications - Industry,Life Sciences,,,
732,DNAnexus,Applications - Industry,Life Sciences,,,
733,Exscientia,Applications - Industry,Life Sciences,,,
734,Freenome,Applications - Industry,Life Sciences,,,Video
735,Genuity Science,Applications - Industry,Life Sciences,,,
736,Healx,Applications - Industry,Life Sciences,,,
737,iCarbonX,Applications - Industry,Life Sciences,,,
738,Inato,Applications - Industry,Life Sciences,,,
739,Insitro,Applications - Industry,Life Sciences,,,
740,Notable Labs,Applications - Industry,Life Sciences,,,
741,OWKIN,Applications - Industry,Life Sciences,,,
742,Oxford Nanopore,Applications - Industry,Life Sciences,,,
743,Pathway Genomics,Applications - Industry,Life Sciences,,,
744,Phosphorus,Applications - Industry,Life Sciences,Acquired by The Cooper Companies in May 2016,2016,Video
745,Recursion Pharmaceuticals,Applications - Industry,Life Sciences,,,
746,SolveBio,Applications - Industry,Life Sciences,,,Video
747,Sophia Genetics,Applications - Industry,Life Sciences,,,
748,Transcriptic,Applications - Industry,Life Sciences,,,
749,Tute Genomics,Applications - Industry,Life Sciences,Acquired by PierianDx in October 2016,2016,
750,Twoxar,Applications - Industry,Life Sciences,,,
751,uBiome,Applications - Industry,Life Sciences,,,
752,Verana Health,Applications - Industry,Life Sciences,,,
753,Verily Life Sciences,Applications - Industry,Life Sciences,,,
754,Zephyr Health,Applications - Industry,Life Sciences,Acquired by Anju Software in October 2018,,
755,Zymergen,Applications - Industry,Life Sciences,,,
756,Amper Music,Applications - Industry,Other,,,Video
757,Boxever,Applications - Industry,Other,,,
758,Bytedance,Applications - Industry,Other,,,
759,Celect,Applications - Industry,Other,Acquired by Nike in August 2019,2019,
760,Duetto,Applications - Industry,Other,,,
761,EagleEye Analytics,Applications - Industry,Other,Acquired by Guidewire in March 2016,2016,
762,eHarmony,Applications - Industry,Other,,,Video
763,Espressive,Applications - Industry,Other,,,
764,Euclid Analytics,Applications - Industry,Other,Acquired by WeWork in February 2019,2019,
765,Hopper,Applications - Industry,Other,,,
766,Jukedeck,Applications - Industry,Other,,,
767,Layer 6,Applications - Industry,Other,Acquired by TD Bank in January 2018,2018,
768,Lightricks,Applications - Industry,Other,,,
769,Next Big Sound,Applications - Industry,Other,Acquired by Pandora Media in May 2015,2015,
770,NumberFire,Applications - Industry,Other,Acquired by FanDuel in August 2015,2015,Video
771,Opower,Applications - Industry,Other,Acquired by Oracle in May 2016,2016,
772,Rethink Robotics,Applications - Industry,Other,Closed,,
773,Second Spectrum,Applications - Industry,Other,,,
774,Seeq,Applications - Industry,Other,,,
775,Sojern,Applications - Industry,Other,,,
776,StatMuse,Applications - Industry,Other,,,
777,Stem,Applications - Industry,Other,,,
778,SwiftKey,Applications - Industry,Other,Acquired  by Microsoft in February 2016,2016,Video
779,Verdigris Technologies,Applications - Industry,Other,,,
780,Chartbeat,Applications - Industry,Publishing,,,Video
781,Outbrain,Applications - Industry,Publishing,,,
782,Quantcast,Applications - Industry,Publishing,,,
783,Taboola,Applications - Industry,Publishing,,,
784,Yieldbot,Applications - Industry,Publishing,,,
785,Yieldex,Applications - Industry,Publishing,Acquired by AppNexus in March 2015,2015,
786,YieldMo,Applications - Industry,Publishing,,,
787,Compstak,Applications - Industry,Real Estate,,,
788,Credifi,Applications - Industry,Real Estate,,,
789,GeoPhy,Applications - Industry,Real Estate,,,
790,OpenDoor,Applications - Industry,Real Estate,,,Video
791,Orchard,Applications - Industry,Real Estate,,,
792,Redfin,Applications - Industry,Real Estate,IPO in July 2017,2017,
793,Reonomy,Applications - Industry,Real Estate,,,
794,Skyline AI,Applications - Industry,Real Estate,,,
795,Spacemaker,Applications - Industry,Real Estate,,,
796,VTS,Applications - Industry,Real Estate,,,
797,Almotive,Applications - Industry,Transportation,,,
798,Aptiv,Applications - Industry,Transportation,,,
799,Argo AI,Applications - Industry,Transportation,,,
800,Aurora,Applications - Industry,Transportation,,,
801,Blaize,Applications - Industry,Transportation,,,
802,Cambridge Mobile Telematics,Applications - Industry,Transportation,,,
803,Civil Maps,Applications - Industry,Transportation,,,
804,Clearpath Robotics,Applications - Industry,Transportation,,,
805,Cognata,Applications - Industry,Transportation,,,
806,Comma.ai,Applications - Industry,Transportation,,,
807,Cruise Automation,Applications - Industry,Transportation,Acquired by GM in March 2016,2016,
808,G7 Networks,Applications - Industry,Transportation,,,
809,German Autolabs,Applications - Industry,Transportation,,,
810,Ghost Locomotion,Applications - Industry,Transportation,,,
811,Ike,Applications - Industry,Transportation,,,
812,Inrix,Applications - Industry,Transportation,,,
813,Juno,Applications - Industry,Transportation,,,
814,Kodiak Robotics,Applications - Industry,Transportation,,,
815,Lyft,Applications - Industry,Transportation,,,
816,Mobileye,Applications - Industry,Transportation,Acquired by Intel in March 2017,2017,
817,Moovit,Applications - Industry,Transportation,,,
818,Nauto,Applications - Industry,Transportation,,,
819,Nexar,Applications - Industry,Transportation,,,
820,Nio,Applications - Industry,Transportation,,,
821,Nuro,Applications - Industry,Transportation,,,
822,Optimus Ride,Applications - Industry,Transportation,,,
823,Otto,Applications - Industry,Transportation,Acquired by Uber in August 2016,2016,
824,Perceptive Automata,Applications - Industry,Transportation,,,
825,Pilot AI Labs,Applications - Industry,Transportation,,,
826,Tesla,Applications - Industry,Transportation,,,
827,TuSimple,Applications - Industry,Transportation,,,
828,Uber,Applications - Industry,Transportation,,,Video
829,Via Transportation,Applications - Industry,Transportation,,,Video
830,Waymo,Applications - Industry,Transportation,,,
831,Zoox,Applications - Industry,Transportation,,,
832,1010data,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,Acquired by Advance/Newhouse in August 2015,2015,Video
833,Amazon,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
834,C3.ai,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
835,Cloudera,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,IPO in April 2017,2017,Video
836,Google,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
837,HPE,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
838,IBM,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
839,MapR,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,Video
840,Microsoft,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,Video
841,NetApp,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
842,Oracle,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
843,Qiniu,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
844,Rubrik,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
845,SAP,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
846,SAS,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
847,SyncSort,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,Acquired by Centerbridge Partners in July 2017,2017,
848,Teradata,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
849,Tibco,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
850,VMWare,Cross Infrastructure/Analytics,Cross Infrastructure/Analytics,,,
851,Accenture,Data Resources,Data Services,,,
852,Booz,Data Resources,Data Services,,,
853,Caserta Concepts,Data Resources,Data Services,,,
854,DataKind,Data Resources,Data Services,,,Video
855,DataScience,Data Resources,Data Services,Acquired by Oracle in May 2018,2018,
856,Datascope,Data Resources,Data Services,Acquired by Ideo October 2017,2017,
857,Electrifai,Data Resources,Data Services,,,
858,Electrifai,Data Resources,Data Services,,,Video
859,EXL Analytics,Data Resources,Data Services,,,
860,Fast Forward Labs,Data Resources,Data Services,Acquired by Cloudera in September 2017,2017,Video
861,Fractal Analytics,Data Resources,Data Services,Acquired by Apax Partners in January 2019,2019,
862,Innoplexus,Data Resources,Data Services,,,
863,Kaggle,Data Resources,Data Services,Acquired by Google in March 2017,2017,Video
864,McKinsey,Data Resources,Data Services,,,
865,Mu Sigma,Data Resources,Data Services,,,
866,Nuevora,Data Resources,Data Services,Acquired by Sugherland Global Services in October 2016,2016,
867,QuantumBlack,Data Resources,Data Services,Acquired by McKinsey in December 2015,2015,
868,Silicon Valley Data Science,Data Resources,Data Services,,,
869,Think Big Analytics,Data Resources,Data Services,Acquired by Teradata in September 2014,2014,Video
870,Valiance Solutions,Data Resources,Data Services,,,
871,Via Science,Data Resources,Data Services,,,
872,Data Elite,Data Resources,Incubators & Schools,,,
873,Data Science Workshops,Data Resources,Incubators & Schools,,,
874,DataCamp,Data Resources,Incubators & Schools,,,
875,Galvanize,Data Resources,Incubators & Schools,,,
876,General Assembly,Data Resources,Incubators & Schools,Acquired by Adecco in April 2018,2018,
877,Insight Data Science,Data Resources,Incubators & Schools,,,Video
878,Metis,Data Resources,Incubators & Schools,,,
879,Pluralsight,Data Resources,Incubators & Schools,IPO in May 2018,,Video
880,The Data Incubator,Data Resources,Incubators & Schools,,,Video
881,Zipfian,Data Resources,Incubators & Schools,Acquired by Galvanize in November 2014,2014,
882,Allen Institute,Data Resources,Research,,,
883,DFKI,Data Resources,Research,,,
884,Facebook Research,Data Resources,Research,,,
885,MILA,Data Resources,Research,,,
886,MIRI,Data Resources,Research,,,
887,MIT CSAIL,Data Resources,Research,,,
888,OFAI,Data Resources,Research,,,
889,OpenAI,Data Resources,Research,,,
890,Vector Institute,Data Resources,Research,,,
891,Airobotics,Data Sources & APIs,Air/Space/Sea,,,
892,Airware,Data Sources & APIs,Air/Space/Sea,Closed and assets sold to Delair in October 2018,2018,
893,Descartes Labs,Data Sources & APIs,Air/Space/Sea,,,Video
894,DroneDeploy,Data Sources & APIs,Air/Space/Sea,,,Video
895,ExoLabs,Data Sources & APIs,Air/Space/Sea,,,
896,Kespry,Data Sources & APIs,Air/Space/Sea,,,Video
897,Loft Orbital,Data Sources & APIs,Air/Space/Sea,,,
898,MarineTraffic,Data Sources & APIs,Air/Space/Sea,,,
899,Orbital Insight,Data Sources & APIs,Air/Space/Sea,,,
900,PlanetLabs,Data Sources & APIs,Air/Space/Sea,,,
901,PrecisionHawk,Data Sources & APIs,Air/Space/Sea,,,
902,Qianxun SI,Data Sources & APIs,Air/Space/Sea,,,
903,RS Metrics,Data Sources & APIs,Air/Space/Sea,,,
904,Skycatch,Data Sources & APIs,Air/Space/Sea,,,Video
905,Spire Global,Data Sources & APIs,Air/Space/Sea,,,
906,Synspective,Data Sources & APIs,Air/Space/Sea,,,
907,Tellus Labs,Data Sources & APIs,Air/Space/Sea,,,
908,Understory Weather,Data Sources & APIs,Air/Space/Sea,,,
909,Windward,Data Sources & APIs,Air/Space/Sea,,,Video
910,AWS Data Exchange,Data Sources & APIs,Data Marketplaces & Discovery,,,
911,data.world,Data Sources & APIs,Data Marketplaces & Discovery,,,
912,Dawex,Data Sources & APIs,Data Marketplaces & Discovery,,,
913,Explorium,Data Sources & APIs,Data Marketplaces & Discovery,,,
914,Narrative,Data Sources & APIs,Data Marketplaces & Discovery,,,
915,Snowflake Data Exchange,Data Sources & APIs,Data Marketplaces & Discovery,,,
916,Bloomberg,Data Sources & APIs,Financial & Economic Data,,,Video
917,CapIQ,Data Sources & APIs,Financial & Economic Data,,,
918,CBInsights,Data Sources & APIs,Financial & Economic Data,,,Video
919,Dow Jones,Data Sources & APIs,Financial & Economic Data,,,
920,EagleAlpha,Data Sources & APIs,Financial & Economic Data,,,
921,Earnest Research,Data Sources & APIs,Financial & Economic Data,,,
922,Estimize,Data Sources & APIs,Financial & Economic Data,,,Video
923,IMF Data,Data Sources & APIs,Financial & Economic Data,,,
924,Mattermark,Data Sources & APIs,Financial & Economic Data,Acquired by Full Contact in December 2017,2017,
925,MX Technologies,Data Sources & APIs,Financial & Economic Data,,,
926,Plaid,Data Sources & APIs,Financial & Economic Data,,,Video
